和暦,西暦,月日,分類,事項,出典
明治元年,1868,1月15日,政治・経済,（明治天皇元服、王政復古を各国公使に布告した。）,金沢の百年　明治編
明治元年,1868,3月14日,政治・経済,（五個条の御誓文が発布された。）,金沢の百年　明治編
明治元年,1868,4月11日,政治・経済,（江戸城開城。）,金沢の百年　明治編
明治元年,1868,4月15日,政治・経済,"朝廷から加賀藩に北越へ出兵を命じてきた。（越後戦争）加賀藩からの出兵数は士卒1,744　監察軍吏953　従僕役夫4,600余等で総計7,600余人に及んだ。戦死者は106人。太政官発行の紙幣がまだ流通しなかったので約半歳の間、藩から弾薬銃砲類はもちろん米、塩、みそ、わらじ類まで現地へ送り届けた。",金沢の百年　明治編
明治元年,1868,4月19日,政治・経済,肥前長崎浦上のキリシタン宗徒のうち若干を加賀藩に預けると政府から通知があった。,金沢の百年　明治編
明治元年,1868,5月15日,政治・経済,（彰義隊が上野寛永寺に拠って反抗した。）,金沢の百年　明治編
明治元年,1868,5月,政治・経済,加賀藩は銀札を廃止し銭札をもってこれに代えた。以後両替商の銀仲（ギンズワイ）を銭仲といった。（銭札100文が銀札1匁に相当）,金沢の百年　明治編
明治元年,1868,5月,政治・経済,（軍螺＝ホラ貝＝を廃し、ラッパを使用することになった。）,金沢の百年　明治編
明治元年,1868,6月12日,政治・経済,博労町（樫田吉蔵）と袋町（中町住の中田庄三郎）の二カ所にあった銀座を金封座と改称した。,金沢の百年　明治編
明治元年,1868,7月17日,政治・経済,（江戸を東京と改称。）,金沢の百年　明治編
明治元年,1868,8月29日,政治・経済,（諸藩の貨幣私鋳が禁止された。）,金沢の百年　明治編
明治元年,1868,9月8日,政治・経済,（明治と改元し一世一元の制が定まった。）,金沢の百年　明治編
明治元年,1868,9月14日,政治・経済,衆議を徴するために金沢城内二の丸殿内に会議所が設けられた。,金沢の百年　明治編
明治元年,1868,9月15日,政治・経済,明治改元のことが通知されて来た。,金沢の百年　明治編
明治元年,1868,9月,政治・経済,加賀藩が長崎で、英人から蒸気船猶龍丸（原名ユンディン）を購入した。船長に河内山昌保を任命した。,金沢の百年　明治編
明治元年,1868,10月13日,政治・経済,（東京遷都。）,金沢の百年　明治編
明治元年,1868,10月27日,政治・経済,津田玄蕃が隊兵を率いて越後戦争から金沢に凱旋した。,金沢の百年　明治編
明治元年,1868,11月22日,政治・経済,目安箱を金沢枯木橋に設けた。,金沢の百年　明治編
明治元年,1868,12月15日,政治・経済,定火消役を廃し、金沢町奉行に消防事務をとらせた。,金沢の百年　明治編
明治元年,1868,月日未詳,政治・経済,仙人町、蛤坂新道、西御影町、東御影町（卯辰山）、常磐町（卯辰山）が新たにできた。,金沢の百年　明治編
明治元年,1868,月日未詳,政治・経済,公事場（現在の裁判所）を刑法寮と改称した。（その後数回名称を変更し7年6月には囚獄所となる）,金沢の百年　明治編
明治元年,1868,2月,社会・文化,金沢では毎年2月の最初の「ひのと」の日に藩の明倫堂で孔子祭（釈菜）がおこなわれていたが、本年を最後にやんだ。,金沢の百年　明治編
明治元年,1868,3月23日,社会・文化,家臣の角入（すみいれ・元服前の男子が額ぎわの両すみを剃り込むこと）、剃髪、改名に関する手続きが簡易になった。,金沢の百年　明治編
明治元年,1868,3月,社会・文化,能登の旧幕府領（土方氏領）が前田家の管轄になった。,金沢の百年　明治編
明治元年,1868,4月9日,社会・文化,長家の第10代当主連恭死去。27歳。,金沢の百年　明治編
明治元年,1868,4月10日,社会・文化,在京の加賀藩士は願い出により総髪、摘髪を許されることになった。,金沢の百年　明治編
明治元年,1868,4月17日,社会・文化,江戸本郷の前田邸類焼。,金沢の百年　明治編
明治元年,1868,4月,社会・文化,笠舞村にあった撫育所を卯辰山に移した。,金沢の百年　明治編
明治元年,1868,4月,社会・文化,三角風蔵死去。85歳。本多利明に就いて測量術の皆伝を得、文政5年金沢分間地図の作成にあずかった。,金沢の百年　明治編
明治元年,1868,閏4月,社会・文化,英仏学塾として道済館が南町90番地狂言師畳屋九郎兵衛の家に設けられた。その後高岡町94番地（今枝民部邸跡）に移る。吉木順吉（津和野藩士）を招き十数人の教師を置いた。,金沢の百年　明治編
明治元年,1868,閏4月,社会・文化,神仏混淆を禁ぜられ神社所属の別当社僧は還俗することを命ぜられた。,金沢の百年　明治編
明治元年,1868,5月1日,社会・文化,第13代加賀藩主前田斉泰夫人偕子死去。56歳。,金沢の百年　明治編
明治元年,1868,5月18日,社会・文化,藩の定番御徒、西坂丙四郎が越後長岡で戦死した。,金沢の百年　明治編
明治元年,1868,5月21日,社会・文化,前田斉泰夫人偕子の葬儀が天徳院で執行された。,金沢の百年　明治編
明治元年,1868,5月,社会・文化,（漢方の医者の開業は試験を受けることとなった。）,金沢の百年　明治編
明治元年,1868,6月19日,社会・文化,前田慶寧が卯辰山に天満宮を造営することを重臣にはかった。,金沢の百年　明治編
明治元年,1868,8月9日,社会・文化,宝生流家元15世宝生紫雪の妻フサ金沢で死去。,金沢の百年　明治編
明治元年,1868,8月,社会・文化,"4,5月が気候不順で出水あり、作柄は不作であった。",金沢の百年　明治編
明治元年,1868,9月13日,社会・文化,藩の壮猶館ではこのころから、操練が蘭式から英式に変った。,金沢の百年　明治編
明治元年,1868,9月13日,社会・文化,藩の経武館と壮猶館が合体した。,金沢の百年　明治編
明治元年,1868,10月10日,社会・文化,前田慶寧が越後戦争の加賀藩戦死者のため卯辰山に招魂祠を造営した。,金沢の百年　明治編
明治元年,1868,10月27日,社会・文化,明治天皇が東京本郷の前田邸に行幸になった。,金沢の百年　明治編
明治元年,1868,10月,社会・文化,黒川良安が藩命でその子誠一郎と横井三柳を伴い長崎に至り医学校および病院の制度を調査した。（翌2年5月20日人体模型、医療機械薬品、医書を求め帰藩、医学館設立の準備をした）,金沢の百年　明治編
明治元年,1868,10月,社会・文化,横山蘭?「静好閣遺草」を編集。蘭?は藩の老臣横山政孝の継室で所居を静好閣という。,金沢の百年　明治編
明治元年,1868,10月,社会・文化,服部弥五郎が宝生分家（服部姓）を継いだ。弥五郎は能楽師直江権三郎の子、宝生紫雪の女婿である。,金沢の百年　明治編
明治元年,1868,11月2日,社会・文化,卯辰山で越後戦争戦死者の招魂祭がおこなわれた。,金沢の百年　明治編
明治元年,1868,11月23日,社会・文化,前田斉泰は越後戦争凱旋士卒のため慶寧と共に金谷殿で能を舞った。,金沢の百年　明治編
明治元年,1868,12月15日,社会・文化,歌俳人碓井梅嶺死去。69歳。石川県鶴来で米屋を営み勤王にも尽した。大正13年従5位追贈。,金沢の百年　明治編
明治元年,1868,12月,社会・文化,明倫堂の句読師を廃し、新たに済々館（大手町元御普請会所跡、現大手町病院）と雍々館（元御細工所跡、現総合庁舎付近）を設けて素読生をこれに移した。,金沢の百年　明治編
明治元年,1868,12月,社会・文化,藩校が四民教導のために講解席を設けた。,金沢の百年　明治編
明治元年,1868,12月,社会・文化,慶応3年春から着手の卯辰山開拓が大体完成した。天神橋の架設も終了した。,金沢の百年　明治編
明治元年,1868,年月未詳,社会・文化,西新地で本年中に数回芝居が興行された。（その一枚刷が残っている）,金沢の百年　明治編
明治元年,1868,年月未詳,社会・文化,加賀藩は学術研究と兵器購入のため馬島健吉、黒川誠一郎、不破與四郎、稲葉助五郎、神戸清右衛門を欧州各国へ派遣した。,金沢の百年　明治編
明治元年,1868,年月未詳,社会・文化,従来茶屋町と称せられていたところを東廓および西廓と改称し、入口に大門が建てられた。,金沢の百年　明治編
明治二年,1869,2月19日,政治・経済,太政官の命によって藩内の関所を撤去した。,金沢の百年　明治編
明治二年,1869,3月26日,政治・経済,加賀藩は職制を改め算用場を民政寮と会計寮に区分、また町会所を市政局と改称した。また金沢奉行を金沢市宰と改め民政寮の所属とした。,金沢の百年　明治編
明治二年,1869,3月,政治・経済,藩士宅地と家中の門前町に新しく町名をつけた。（30ｶ町名）,金沢の百年　明治編
明治二年,1869,3月,政治・経済,藩士阿部甚十郎敬忠（碧海）が古寺町の自邸に九谷焼絵付工場を興した。,金沢の百年　明治編
明治二年,1869,5月24日,政治・経済,（東京為替会社創立。）,金沢の百年　明治編
明治二年,1869,6月17日,政治・経済,前田慶寧の版籍奉還の請願がいれられ慶寧は金沢藩知事に任ぜられた。,金沢の百年　明治編
明治二年,1869,6月28日,政治・経済,藩吏の職禄が廃され金俸月給となった。,金沢の百年　明治編
明治二年,1869,6月,政治・経済,江戸の加賀藩抱えの火消のうち30人余を金沢へ召し寄せこれに従来の定火消20人余と新たに町方から採用した消防夫240人余を加えたものを3組に分け、犀川大橋、浅野川大橋および下堤町の3カ所に火の見やぐらを建ててここに詰めさせた。このときから出火の合図は太鼓をやめて半鐘を打つことになった。,金沢の百年　明治編
明治二年,1869,6月,政治・経済,（公卿諸大名に華族の呼称を用いることになった。）,金沢の百年　明治編
明治二年,1869,7月,政治・経済,藩の消防器具を市政局の市政係に移管した。,金沢の百年　明治編
明治二年,1869,8月28日,政治・経済,太政官は金沢藩に北海道北見国3郡の支配と開拓を託したが藩は、力及ばずとして免除を願い出た。（3年6月解除された）,金沢の百年　明治編
明治二年,1869,9月4日,政治・経済,藩士安達幸之助が京都木屋町旅宿で大村益次郎と共に殺された。46歳。,金沢の百年　明治編
明治二年,1869,9月7日,政治・経済,金沢藩は執政、参政を廃し、大参事、権大参事を置いた。,金沢の百年　明治編
明治二年,1869,9月23日,政治・経済,政事堂を藩庁と改称した。,金沢の百年　明治編
明治二年,1869,9月,政治・経済,前田慶寧は藩知事として帰藩後、前田直信、横山蔵人、岡田雄次郎を大参事に任命、前田内蔵太、安井和助を権大参事に任命した。また長九郎右衛門、篠原助六を少参事に任命、成瀬主税、赤座甚七郎を権少参事に任命した。,金沢の百年　明治編
明治二年,1869,10月7日,政治・経済,金沢藩庁は金融機関の必要を痛感し、木谷藤右衛門、嶋崎德平、宮林彦九郎らを説き金沢為替会社（資本金2万円）を創立させた。前田家も藩資を入れて発展をはかり、営業を監督することにしたが、明治4年藩制の廃止と同時に監督の制は解かれた。（為替会社は明治2年から明治16年まで博労町に存置した）,金沢の百年　明治編
明治二年,1869,10月14日,政治・経済,藩庁を長成連の旧邸に移し民政寮、市政局をここに置いた。藩知事は毎日出勤した。,金沢の百年　明治編
明治二年,1869,10月17日,政治・経済,民政、兵政、学校、刑法の諸掛に各少参事を置いた。,金沢の百年　明治編
明治二年,1869,10月,政治・経済,金沢藩は従来の草高による知行を廃し、実給与高による知行制に改め同時に高禄者の禄を大幅に削った。,金沢の百年　明治編
明治二年,1869,12月,政治・経済,（武士の呼称が士族と卒（足軽）の2階級に改められた。）,金沢の百年　明治編
明治二年,1869,月日未詳,政治・経済,本年は気候不順で穀物の作柄不良、そのため物価は騰貴、近村の百姓の騒ぎが続発し、貢租も納まらなかった。（石10円余になる）,金沢の百年　明治編
明治二年,1869,1月,社会・文化,壮猶館内に英学所を設置した。,金沢の百年　明治編
明治二年,1869,1月,社会・文化,道済館は入学者多数のため英学生を分けて城内会所跡に移した。?注館という。?注館には長野桂二郎（旧幕臣でしばしば改名した）を招き十数人の教師を置いた。,金沢の百年　明治編
明治二年,1869,2月6日,社会・文化,金沢鈴見鋳造場が焼失した。（旋条銃砲を製造していた）,金沢の百年　明治編
明治二年,1869,2月9日,社会・文化,前田慶寧が八丈島流人宇喜多孫九郎らを引取り扶助するよう命ぜられた。,金沢の百年　明治編
明治二年,1869,2月18日,社会・文化,金谷御殿、七十間長屋、鼠田門、土橋門等が焼失した。,金沢の百年　明治編
明治二年,1869,2月,社会・文化,壮猶館内に鉤深館を設置して航海測海学を教えた。,金沢の百年　明治編
明治二年,1869,2月,社会・文化,卯辰山開拓録（餐霞山人内藤誠斎編）が刊行された。慶応3年開拓されたときの記録で跋は集雅堂児遊（石川文三）。,金沢の百年　明治編
明治二年,1869,2月,社会・文化,道済館の生徒の大部分を旧壮猶館内英学所に入学させ道済館を廃止した。,金沢の百年　明治編
明治二年,1869,4月27日,社会・文化,加賀藩老臣奥村氏支族14代の篤輝死去。18歳。,金沢の百年　明治編
明治二年,1869,4月28日,社会・文化,十三間町の町医嵯峨寿安が金沢藩留学生として、ロシア行きを許可され日本人で最初にシベリアを横断した。寿安はまず長崎で露語を学び3年1月凾館から露鑑でウラジオストクに上陸、シベリアを横断してノブゴロドから汽車で首都ペトロブルグに4年1月7日到着。廃藩で学資送金中絶の後は苦学を続け、7年帰国した。,金沢の百年　明治編
明治二年,1869,4月,社会・文化,藩主慶寧は新知識を得て藩治に資するため岡島喜太郎、佐野鼎、関沢明清、吉田伝次郎、伍堂卓爾を欧州各国に派遣した。,金沢の百年　明治編
明治二年,1869,5月8日,社会・文化,城中権現堂の時鐘が西洋の時辰法に従って、昼夜24時に改められた。,金沢の百年　明治編
明治二年,1869,5月15日,社会・文化,歌人大友久米満死去。53歳。門人すこぶる多く歌集蓬壺集がある。,金沢の百年　明治編
明治二年,1869,8月7日,社会・文化,本多政均が二の丸殿中で山辺沖太郎、井口義平に刺殺された。,金沢の百年　明治編
明治二年,1869,8月,社会・文化,壮猶館内英学所は生徒が増加して収容不能になったので城内御細工所跡に移り致遠館と号した。間もなく松原町神護寺を改造してここに移した。米人オースボンを招いた。（明治3年8月任期満了）,金沢の百年　明治編
明治二年,1869,8月,社会・文化,壮猶館の分校として七尾に七尾語学所が設置された。,金沢の百年　明治編
明治二年,1869,9月,社会・文化,今様能の林寿三郎が西新地小屋で興行した。（はじめて女役者を加えて演能）,金沢の百年　明治編
明治二年,1869,10月2日,社会・文化,前田斉泰は金谷殿表住居を廃し、御広式に移った。,金沢の百年　明治編
明治二年,1869,10月13日,社会・文化,俳人浅野屋林坡死去。60歳。,金沢の百年　明治編
明治二年,1869,10月20日,社会・文化,前田慶寧の私邸を広坂台地の本多資松の屋敷に移した。,金沢の百年　明治編
明治二年,1869,11月8日,社会・文化,加賀藩以来の武具の合印であるかぶとの「猪目」と刀の鞘の「三つ巻」が廃された。,金沢の百年　明治編
明治二年,1869,11月,社会・文化,丹羽初三郎が新竪町ではじめて牛肉を売った。（店は翌年南町道済館跡に移った）,金沢の百年　明治編
明治二年,1869,12月25日,社会・文化,金沢藩に預けられる肥前長崎浦上のキリシタンのうち第1次分124人は藩から出張した藩士3人に大阪で引取られ金沢に到着、すぐに卯辰山織屋に収容された。,金沢の百年　明治編
明治二年,1869,月日未詳,社会・文化,鋳物師として精妙な腕をうたわれた11代横河九左衛門正久死去。,金沢の百年　明治編
明治二年,1869,月日未詳,社会・文化,2年末まで、神仏混淆の寺社が金沢にあった。,金沢の百年　明治編
明治二年,1869,月日未詳,社会・文化,大手町2番地に私立慶応義塾修学所が設けられた。のちに梅本町小学所となった。,金沢の百年　明治編
明治三年,1870,1月8日,政治・経済,三度町飛脚（藩の委託を受けた民営の飛脚で、江戸と京都へ月に三度行った）は商法局廻漕方に併合された。,金沢の百年　明治編
明治三年,1870,2月8日,政治・経済,旧人持組（加賀藩では八家に次ぐ高禄の士に属する組）の下屋敷は家士の居住しているものを除き租税局に返納させた。,金沢の百年　明治編
明治三年,1870,3月,政治・経済,重臣奥村、横山、村井、今枝の4旧邸を兵隊屯所、同病院、練兵場等にあてることになった。,金沢の百年　明治編
明治三年,1870,4月,政治・経済,天神橋の釜谷鋳物工場が創立された。,金沢の百年　明治編
